City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Albany,US,42.6001,-73.9662,64.63,82,92,4.36,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,64.11,84,97,4.94,overcast clouds
2,Susanville,US,40.4163,-120.653,70.81,27,1,1.01,clear sky
3,Jamestown,US,42.097,-79.2353,69.39,80,90,8.01,overcast clouds
4,Butaritari,KI,3.0707,172.7902,81.39,68,40,9.48,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,74.68,81,98,19.06,overcast clouds
6,Andenes,NO,69.3143,16.1194,46.08,81,75,4.61,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,72.95,88,7,6.46,clear sky
8,Hoa Binh,VN,20.8133,105.3383,73.29,99,100,4.56,overcast clouds
9,Yellowknife,CA,62.456,-114.3525,37.42,99,100,15.99,light rain
10,Garowe,SO,8.4054,48.4845,80.56,63,97,12.97,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,70.56,90,100,23.42,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,32.16,55,2,2.59,clear sky
13,Georgetown,MY,5.4112,100.3354,78.89,84,20,0.0,few clouds
14,Chokurdakh,RU,70.6333,147.9167,18.21,88,100,5.55,overcast clouds
15,Beringovskiy,RU,63.05,179.3167,29.25,90,99,12.88,overcast clouds
16,Hofn,IS,64.2539,-15.2082,41.59,67,48,9.82,scattered clouds
17,Bluff,NZ,-46.6,168.3333,48.79,91,100,6.44,overcast clouds
18,Vaini,TO,-21.2,-175.2,77.16,83,75,8.05,broken clouds
19,Saraipali,IN,21.3333,83.0,71.02,72,6,3.06,clear sky
20,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,95,100,13.96,overcast clouds
21,Luderitz,NA,-26.6481,15.1594,70.92,38,7,4.59,clear sky
22,High Prairie,CA,55.4334,-116.4858,47.5,29,58,13.67,broken clouds
23,Nicoya,CR,10.1483,-85.452,85.55,79,83,2.33,broken clouds
24,Bredasdorp,ZA,-34.5322,20.0403,60.28,82,77,1.86,broken clouds
25,Ushuaia,AR,-54.8,-68.3,49.66,40,40,12.66,light rain
26,Fengzhen,CN,40.4394,113.1536,36.46,46,0,2.64,clear sky
27,Kapaa,US,22.0752,-159.319,82.72,70,1,5.01,light rain
28,Carnarvon,AU,-24.8667,113.6333,65.3,70,0,20.0,clear sky
29,Pacific Grove,US,36.6177,-121.9166,83.57,74,1,5.99,clear sky
30,Mataura,NZ,-46.1927,168.8643,48.47,91,100,3.04,overcast clouds
31,Alofi,NU,-19.0595,-169.9187,77.25,80,100,5.19,overcast clouds
32,Port Alfred,ZA,-33.5906,26.891,59.9,71,21,23.49,few clouds
33,Victoria,HK,22.2855,114.1577,82.33,84,100,5.99,overcast clouds
34,Prince Rupert,CA,54.3161,-130.3201,46.49,87,90,8.05,moderate rain
35,Beloha,MG,-25.1667,45.05,68.18,84,30,9.35,light rain
36,Punta Arenas,CL,-53.15,-70.9167,50.11,43,20,31.07,few clouds
37,Bambous Virieux,MU,-20.3428,57.7575,71.85,100,75,11.5,light rain
38,San Luis De Gaceno,CO,4.8205,-73.1685,76.33,95,100,1.19,overcast clouds
39,Port Elizabeth,ZA,-33.918,25.5701,57.67,72,52,12.68,broken clouds
40,Hermanus,ZA,-34.4187,19.2345,63.9,66,98,7.18,overcast clouds
41,Atuona,PF,-9.8,-139.0333,78.33,74,37,18.63,scattered clouds
42,Dunmanway,IE,51.7167,-9.1167,50.92,91,34,4.03,scattered clouds
43,Avarua,CK,-21.2078,-159.775,78.85,69,100,8.05,overcast clouds
44,Qaanaaq,GL,77.484,-69.3632,29.66,88,100,8.3,overcast clouds
45,Verkhnevilyuysk,RU,63.4453,120.3167,32.52,86,99,11.95,overcast clouds
46,Correntina,BR,-13.3433,-44.6367,88.47,27,91,4.36,overcast clouds
