City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Saskylakh,RU,71.9167,114.0833,21.85,96,100,8.1,overcast clouds
1,Sorong,ID,-0.8833,131.25,79.2,85,100,7.27,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,62.91,64,98,8.21,overcast clouds
3,Nortelandia,BR,-14.4547,-56.8028,85.82,50,87,1.16,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,63.12,87,0,3.44,clear sky
5,Butaritari,KI,3.0707,172.7902,81.68,66,35,8.66,scattered clouds
6,Souillac,MU,-20.5167,57.5167,71.98,100,75,11.5,light rain
7,Naumburg,DE,51.15,11.8167,47.16,66,46,6.2,scattered clouds
8,Punta Arenas,CL,-53.15,-70.9167,50.11,43,20,31.07,few clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,67.23,88,100,22.57,overcast clouds
10,Tuatapere,NZ,-46.1333,167.6833,48.81,96,100,4.12,light rain
11,Chuy,UY,-33.6971,-53.4616,60.49,78,97,13.76,overcast clouds
12,Tiksi,RU,71.6872,128.8694,28.83,97,100,7.83,light snow
13,Kwinana,AU,-32.25,115.7667,57.24,71,97,14.29,overcast clouds
14,Chokurdakh,RU,70.6333,147.9167,19.02,88,100,5.39,overcast clouds
15,Anchorage,US,61.2181,-149.9003,50.2,64,1,5.01,clear sky
16,Emerald,AU,-23.5333,148.1667,75.34,60,7,13.8,clear sky
17,Lingao,CN,19.9103,109.6859,77.94,91,99,10.65,overcast clouds
18,Mecca,SA,21.4267,39.8261,84.61,43,3,1.45,clear sky
19,Padang,ID,-0.9492,100.3543,75.38,92,100,1.19,light rain
20,Abha,SA,18.2164,42.5053,64.22,25,0,8.05,clear sky
21,Cabo San Lucas,MX,22.8909,-109.9124,94.6,67,20,5.01,few clouds
22,Makasar,ID,-5.14,119.4221,75.25,94,20,2.3,few clouds
23,Provideniya,RU,64.3833,-173.3,32.11,80,75,8.95,broken clouds
24,Thompson,CA,55.7435,-97.8558,53.76,66,40,3.44,scattered clouds
25,Pandan,PH,14.0453,124.1694,82.67,80,47,15.1,scattered clouds
26,Ondjiva,AO,-17.0667,15.7333,75.07,12,1,10.11,clear sky
27,Porto Walter,BR,-8.2686,-72.7439,84.7,56,73,1.63,broken clouds
28,Sasovo,RU,54.3537,41.9199,41.83,79,10,3.78,clear sky
29,Ushuaia,AR,-54.8,-68.3,49.66,40,40,12.66,light rain
30,Bluff,NZ,-46.6,168.3333,48.79,90,100,8.1,light rain
31,Mataura,NZ,-46.1927,168.8643,48.47,94,100,3.36,overcast clouds
32,Barrow,US,71.2906,-156.7887,26.62,93,75,10.36,mist
33,Avarua,CK,-21.2078,-159.775,77.05,73,100,10.36,overcast clouds
34,Hilo,US,19.7297,-155.09,82.13,79,75,16.11,moderate rain
35,Severo-Kurilsk,RU,50.6789,156.125,49.19,94,100,20.92,moderate rain
36,Atuona,PF,-9.8,-139.0333,78.44,75,31,18.68,scattered clouds
37,Katsuura,JP,35.1333,140.3,75.18,71,58,14.36,broken clouds
38,Yellowknife,CA,62.456,-114.3525,36.41,100,90,16.11,light rain
39,East London,ZA,-33.0153,27.9116,59.68,68,14,18.19,few clouds
40,Fortuna,US,40.5982,-124.1573,65.19,68,71,1.99,broken clouds
41,Sept-Iles,CA,50.2001,-66.3821,52.32,86,40,2.3,scattered clouds
42,Palmas Bellas,PA,9.2319,-80.0867,82.31,87,99,6.02,overcast clouds
43,Busselton,AU,-33.65,115.3333,57.09,80,97,16.46,overcast clouds
44,Rikitea,PF,-23.1203,-134.9692,74.8,80,98,18.25,overcast clouds
45,Beringovskiy,RU,63.05,179.3167,28.81,88,99,12.21,overcast clouds
46,Kodiak,US,57.79,-152.4072,49.51,50,90,8.05,overcast clouds
