City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bairiki,KI,2021-10-07 22:38:57,1.3292,172.9752,86.0,66,40,10.36
1,Hermanus,ZA,2021-10-07 22:30:36,-34.4187,19.2345,55.9,73,0,7.43
2,Cayenne,GF,2021-10-07 22:32:11,4.9333,-52.3333,83.08,78,0,5.01
3,Albany,US,2021-10-07 22:30:05,42.6001,-73.9662,69.67,83,11,2.98
4,Sinnamary,GF,2021-10-07 22:39:00,5.3833,-52.95,81.55,79,48,11.23
5,Mataura,NZ,2021-10-07 22:31:01,-46.1927,168.8643,58.48,52,99,4.12
6,Ola,RU,2021-10-07 22:39:01,59.5833,151.2833,30.16,51,23,2.39
7,Ushuaia,AR,2021-10-07 22:30:46,-54.8,-68.3,46.06,57,0,0.0
8,Atuona,PF,2021-10-07 22:30:40,-9.8,-139.0333,77.97,76,13,15.01
9,Hobart,AU,2021-10-07 22:27:29,-42.8794,147.3294,58.26,70,20,1.01
10,Arman,RU,2021-10-07 22:39:03,59.7,150.1667,29.61,54,15,4.34
11,Orlik,RU,2021-10-07 22:39:04,52.5178,99.825,26.19,77,98,3.89
12,Ilulissat,GL,2021-10-07 22:39:05,69.2167,-51.1,26.62,54,7,3.44
13,Rikitea,PF,2021-10-07 22:30:56,-23.1203,-134.9692,73.87,76,49,8.5
14,Mahebourg,MU,2021-10-07 22:31:03,-20.4081,57.7,69.26,88,75,11.5
15,Platteville,US,2021-10-07 22:36:33,42.7342,-90.4785,70.25,100,75,0.0
16,Cape Town,ZA,2021-10-07 22:30:59,-33.9258,18.4232,59.09,71,75,16.11
17,Saint George,US,2021-10-07 22:31:22,37.1041,-113.5841,81.07,37,20,1.99
18,Reconquista,AR,2021-10-07 22:39:11,-29.15,-59.65,65.61,39,67,13.15
19,Eyl,SO,2021-10-07 22:39:12,7.9803,49.8164,77.65,81,100,13.0
20,Kota Tinggi,MY,2021-10-07 22:39:14,1.7381,103.8999,82.44,88,65,3.62
21,Ikalamavony,MG,2021-10-07 22:39:15,-21.15,46.5833,59.0,75,35,11.68
22,Port Hardy,CA,2021-10-07 22:30:43,50.6996,-127.4199,50.18,76,90,6.91
23,Biak,ID,2021-10-07 22:39:18,-0.9131,122.8766,78.64,75,74,5.1
24,Mar Del Plata,AR,2021-10-07 22:31:06,-38.0023,-57.5575,52.88,58,0,8.99
25,Port Hedland,AU,2021-10-07 22:39:23,-20.3167,118.5667,69.85,100,90,3.44
26,Upernavik,GL,2021-10-07 22:39:23,72.7868,-56.1549,24.69,48,22,4.7
27,Leh,IN,2021-10-07 22:31:36,34.1667,77.5833,45.37,29,0,4.18
28,Bredasdorp,ZA,2021-10-07 22:30:53,-34.5322,20.0403,58.32,88,0,0.0
29,Butaritari,KI,2021-10-07 22:30:39,3.0707,172.7902,82.92,65,19,15.28
30,Barrow,US,2021-10-07 22:30:45,71.2906,-156.7887,33.82,80,90,8.05
31,Busselton,AU,2021-10-07 22:30:36,-33.65,115.3333,49.05,74,77,7.34
32,Kapaa,US,2021-10-07 22:30:39,22.0752,-159.319,82.38,75,75,5.01
33,Yellowknife,CA,2021-10-07 22:31:30,62.456,-114.3525,38.41,94,90,1.99
34,Kodiak,US,2021-10-07 22:39:29,57.79,-152.4072,51.31,71,1,11.5
35,Fasa,IR,2021-10-07 22:39:30,28.9383,53.6482,65.44,32,0,6.91
36,Limon,CR,2021-10-07 22:39:32,10.0,-83.0333,82.29,83,75,5.75
37,Zhuanghe,CN,2021-10-07 22:31:26,39.7008,122.9911,55.27,71,83,4.65
38,Naze,JP,2021-10-07 22:39:50,28.3667,129.4833,77.92,71,48,16.62
39,Saint-Francois,FR,2021-10-07 22:39:51,46.4154,3.9054,47.68,93,0,8.05
40,Thompson,CA,2021-10-07 22:39:51,55.7435,-97.8558,55.56,71,90,12.66
41,Tiksi,RU,2021-10-07 22:30:55,71.6872,128.8694,27.43,94,100,11.59
42,Adrar,MR,2021-10-07 22:36:34,20.5022,-10.0711,90.95,8,60,9.66
43,Hilo,US,2021-10-07 22:30:21,19.7297,-155.09,83.28,72,90,18.41
44,Farah,AF,2021-10-07 22:39:54,32.5,62.5,66.34,23,0,3.24
45,Vaini,TO,2021-10-07 22:30:43,-21.2,-175.2,75.0,85,7,15.95
46,Oksfjord,NO,2021-10-07 22:39:55,70.2396,22.3479,40.12,83,100,16.55
47,Tasiilaq,GL,2021-10-07 22:39:57,65.6145,-37.6368,32.16,51,2,7.61
48,Hithadhoo,MV,2021-10-07 22:32:00,-0.6,73.0833,82.6,68,84,10.6
49,Qaanaaq,GL,2021-10-07 22:32:01,77.484,-69.3632,19.98,60,85,7.83
50,Provideniya,RU,2021-10-07 22:32:30,64.3833,-173.3,37.51,81,90,11.18
51,Cherskiy,RU,2021-10-07 22:32:32,68.75,161.3,6.75,94,72,4.16
52,Avarua,CK,2021-10-07 22:28:41,-21.2078,-159.775,78.85,69,75,11.5
53,Arraial Do Cabo,BR,2021-10-07 22:30:53,-22.9661,-42.0278,71.46,88,75,12.66
54,Sur,OM,2021-10-07 22:40:12,22.5667,59.5289,82.02,54,1,4.81
55,Bambous Virieux,MU,2021-10-07 22:40:12,-20.3428,57.7575,69.22,88,75,11.5
56,Souillac,MU,2021-10-07 22:40:13,-20.5167,57.5167,69.37,88,75,11.5
57,Tura,IN,2021-10-07 22:40:15,25.5198,90.2201,75.43,84,87,1.77
58,Champerico,GT,2021-10-07 22:40:16,14.3,-91.9167,83.35,73,46,5.7
59,Bemidji,US,2021-10-07 22:36:41,47.4736,-94.8803,72.64,74,75,11.5
60,Saiha,IN,2021-10-07 22:40:18,22.4833,92.9667,68.36,99,39,2.51
61,Ponta Do Sol,PT,2021-10-07 22:40:19,32.6667,-17.1,72.23,75,12,1.5
62,Matai,TZ,2021-10-07 22:40:24,-8.3,31.5167,63.34,50,26,7.52
63,Dingle,PH,2021-10-07 22:40:28,10.9995,122.6711,77.54,87,100,2.13
64,Katsuura,JP,2021-10-07 22:40:28,35.1333,140.3,73.11,80,49,11.63
65,Punta Arenas,CL,2021-10-07 22:30:51,-53.15,-70.9167,50.11,50,0,17.27
66,Puerto Ayora,EC,2021-10-07 22:31:14,-0.7393,-90.3518,70.56,90,86,10.0
67,Togur,RU,2021-10-07 22:40:34,58.3631,82.8265,38.95,98,100,6.24
68,Chitipa,MW,2021-10-07 22:40:35,-9.7024,33.2697,63.09,85,12,5.77
69,Aklavik,CA,2021-10-07 22:30:51,68.2191,-135.0107,38.23,81,71,0.65
70,Coahuayana,MX,2021-10-07 22:32:02,18.7333,-103.6833,90.88,77,46,3.58
71,Port Alfred,ZA,2021-10-07 22:30:49,-33.5906,26.891,67.71,87,100,7.29
72,Severo-Yeniseyskiy,RU,2021-10-07 22:40:43,60.3725,93.0408,32.07,99,100,4.36
73,Jamestown,US,2021-10-07 22:29:30,42.097,-79.2353,76.32,67,1,3.44
74,Qasigiannguit,GL,2021-10-07 22:40:45,68.8193,-51.1922,26.85,80,10,4.43
75,Datong,CN,2021-10-07 22:40:49,40.0936,113.2914,47.12,83,0,2.37
76,Ribeira Grande,PT,2021-10-07 22:32:23,38.5167,-28.7,70.05,70,3,6.76
77,Saint-Philippe,RE,2021-10-07 22:31:36,-21.3585,55.7679,67.59,78,69,7.43
78,Horsham,GB,2021-10-07 22:40:51,51.064,-0.3272,61.54,80,75,2.3
79,Palmer,US,2021-10-07 22:40:53,42.1584,-72.3287,67.32,72,0,2.17
80,Correia Pinto,BR,2021-10-07 22:40:54,-27.5847,-50.3611,55.31,95,32,6.89
81,Bluff,NZ,2021-10-07 22:31:11,-46.6,168.3333,58.8,72,92,10.0
82,Vieste,IT,2021-10-07 22:40:56,41.8825,16.175,59.5,71,90,2.28
83,Stokmarknes,NO,2021-10-07 22:40:58,68.5646,14.9108,40.5,68,68,6.31
84,Hasaki,JP,2021-10-07 22:31:47,35.7333,140.8333,70.29,80,57,13.82
85,Nikolskoye,RU,2021-10-07 22:32:12,59.7035,30.7861,49.89,67,64,7.47
86,Faanui,PF,2021-10-07 22:41:02,-16.4833,-151.75,78.78,73,18,6.91
87,Sampiro,PH,2021-10-07 22:41:03,13.7842,121.3842,76.71,92,100,1.86
88,Kampong Thum,KH,2021-10-07 22:41:04,12.7111,104.8887,72.99,97,100,7.02
89,Sola,VU,2021-10-07 22:41:06,-13.8833,167.55,80.78,78,29,19.35
90,Challans,FR,2021-10-07 22:41:07,46.8436,-1.8749,57.4,82,24,8.03
91,Srednekolymsk,RU,2021-10-07 22:41:07,67.45,153.6833,18.19,77,52,2.68
92,Tuktoyaktuk,CA,2021-10-07 22:41:08,69.4541,-133.0374,33.8,75,20,8.05
93,Caravelas,BR,2021-10-07 22:41:08,-17.7125,-39.2481,75.31,84,3,8.66
94,Bengkulu,ID,2021-10-07 22:41:09,-3.8004,102.2655,74.19,91,72,3.36
95,Portland,US,2021-10-07 22:41:02,45.5234,-122.6762,64.53,60,20,1.99
96,Cap-Aux-Meules,CA,2021-10-07 22:41:13,47.3821,-61.8597,55.45,94,75,6.91
97,East London,ZA,2021-10-07 22:31:28,-33.0153,27.9116,66.49,94,100,1.03
98,Chokurdakh,RU,2021-10-07 22:41:16,70.6333,147.9167,13.66,85,99,6.64
99,Beringovskiy,RU,2021-10-07 22:41:16,63.05,179.3167,32.59,94,100,7.87
100,Orange Walk,BZ,2021-10-07 22:41:17,17.8333,-88.8333,84.06,95,93,3.36
